stock_code;description_clean;categoria_final
10002;INFLATABLE POLITICAL GLOBE;Sin clasificar
10002R;ROBOT PENCIL SHARPNER;Papelería y Tarjetería
10080;GROOVY CACTUS INFLATABLE;Velas e Iluminación
10109;BENDY COLOUR PENCILS;Papelería y Tarjetería
10120;DOGGY RUBBER;Papelería y Tarjetería
10123C;HEARTS WRAPPING TAPE;Papelería y Tarjetería
10123G;ARMY CAMO WRAPPING TAPE;Papelería y Tarjetería
10124A;SPOTS ON RED BOOKCOVER TAPE;Sin clasificar
10124G;ARMY CAMO BOOKCOVER TAPE;Sin clasificar
10125;MINI FUNKY DESIGN TAPES;Papelería y Tarjetería
10133;COLOURING PENCILS BROWN TUBE;Papelería y Tarjetería
10134;COLOURING PENCILS BROWN TUBE;Papelería y Tarjetería
10135;COLOURING PENCILS BROWN TUBE;Papelería y Tarjetería
10138;ASSORTED COLOUR JUMBO PEN;Papelería y Tarjetería
11001;ASSTD DESIGN RACING CAR PEN;Papelería y Tarjetería
15030;FAN BLACK FRAME;Marcos y Fotografía
15034;PAPER POCKET TRAVELING FAN;Decoración del Hogar
15036;ASSORTED COLOURS SILK FAN;Decoración del Hogar
15039;SANDALWOOD FAN;Decoración del Hogar
15044A;PINK PAPER PARASOL;Jardín y Exterior
15044B;BLUE PAPER PARASOL;Jardín y Exterior
15044C;PURPLE PAPER PARASOL;Jardín y Exterior
15044D;RED PAPER PARASOL;Jardín y Exterior
15056BL;EDWARDIAN PARASOL BLACK;Jardín y Exterior
15056N;EDWARDIAN PARASOL NATURAL;Jardín y Exterior
15056P;EDWARDIAN PARASOL PINK;Jardín y Exterior
15058A;BLUE POLKADOT GARDEN PARASOL;Jardín y Exterior
15058B;PINK POLKADOT GARDEN PARASOL;Jardín y Exterior
15058C;ICE CREAM DESIGN GARDEN PARASOL;Jardín y Exterior
15059A;ENGLISH ROSE EDWARDIAN PARASOL;Jardín y Exterior
15060B;FAIRY CAKE DESIGN UMBRELLA;Cocina y Mesa
16008;SMALL FOLDING SCISSOR POINTED EDGE;Sin clasificar
16010;FOLDING CAMPING SCISSOR W KNIF S;Sin clasificar
16011;ANIMAL STICKERS;Papelería y Tarjetería
16012;FOOD DRINK SPONGE STICKERS;Papelería y Tarjetería
16014;SMALL CHINESE STYLE SCISSOR;Cocina y Mesa
16015;MEDIUM CHINESE STYLE SCISSOR;Sin clasificar
16016;LARGE CHINESE STYLE SCISSOR;Cocina y Mesa
16020C;CLEAR STATIONERY BOX SET;Papelería y Tarjetería
16033;MINI HIGHLIGHTER PENS;Papelería y Tarjetería
16043;POP ART PUSH DOWN RUBBER;Papelería y Tarjetería
16044;POP ART FLUORESCENT PENS;Papelería y Tarjetería
16045;POPART WOODEN PENCILS ASST;Papelería y Tarjetería
16046;TEATIME PEN CASE PENS;Papelería y Tarjetería
16047;POP ART PEN CASE PENS;Papelería y Tarjetería
16048;TEATIME ROUND PENCIL SHARPENER;Papelería y Tarjetería
16049;TEATIME GEL PENS ASST;Papelería y Tarjetería
16050;TEATIME PENCIL WITH RUBBER;Papelería y Tarjetería
16051;TEATIME PENCIL W STAMP ASST;Papelería y Tarjetería
16052;TEATIME PUSH DOWN RUBBER;Sin clasificar
16053;POPART COL BALLPOINT PEN ASST;Papelería y Tarjetería
16054;POPART RECT PENCIL SHARPENER ASST;Papelería y Tarjetería
16119;FUNKY GIRL ADDRESS BOOK;Cajas y Almacenamiento
16151A;FLOWERS HANDBAG BLUE AND ORANGE;Bolsos y Carteras
16156L;WRAP CAROUSEL;Papelería y Tarjetería
16156N;WRAP FRIENDSHIP ON GREEN;Papelería y Tarjetería
16156S;WRAP PINK FAIRY CAKES;Papelería y Tarjetería
16161C;WRAP SPEED DEMONS;Papelería y Tarjetería
16161E;WRAP BOUDOIR;Papelería y Tarjetería
16161G;WRAP BAD HAIR DAY;Papelería y Tarjetería
16161M;WRAP PINK FLOCK;Papelería y Tarjetería
16161P;WRAP ENGLISH ROSE;Papelería y Tarjetería
16161U;WRAP SUKI AND FRIENDS;Papelería y Tarjetería
16162L;THE KING GIFT BAG;Bolsos y Carteras
