stock_code; description_clean                  ; revenue_total; categoria_gold
35995     ; SET 6 BLACK GLITTER REINDEER CANDLE;          3.78;Velas e Iluminación
23236     ; STORAGE TIN VINTAGE DOILY          ;       7059.97;Cajas y Almacenamiento
22971     ; QUEENS GUARD COFFEE MUG            ;       5849.29;Cocina y Mesa
21811     ; HANGING HEART WITH BELL            ;       4577.18;Decoración del Hogar
20870     ; OPULENT VELVET CANDLE IN BOX       ;         52.2 ;Velas e Iluminación
84030C    ; KNITTED RAINBOW HOT WATER BOTTLE   ;        330.78;Botellas de Agua Caliente y Confort
23240     ; SET OF 4 KNICK KNACK TINS DOILY    ;      17000.17;Cocina y Mesa
84509C    ; SET OF 4 POLKADOT PLACEMATS        ;       1591.22;Cocina y Mesa
16169M    ; WRAP DAISY CARPET                  ;        640.95;Decoración del Hogar
23401     ; RUSTIC MIRROR WITH LACE HEART      ;       2354.87;Espejos
22797     ; CHEST OF DRAWERS GINGHAM HEART     ;       4205.56;Cajas y Almacenamiento
23630     ; SET 10 CARDS HANGING BAUBLES 17080 ;          5.48;Navidad
22726     ; ALARM CLOCK BAKELIKE GREEN         ;      32609.32;Relojes y Arte de Pared
20823     ; GOLD WINE GOBLET                   ;        533.71;Cocina y Mesa
90096     ; NECKLACE BRACELET SET BLUE BLOSSOM ;        243.61;Joyería y Bijouterie
22465     ; HANGING METAL STAR LANTERN         ;       7284.24;Navidad
84968F    ; SET OF 16 VINTAGE SKY BLUE CUTLERY ;       3622.75;Cocina y Mesa
22772     ; PINK DRAWER KNOB ACRYLIC EDWARDIAN ;       5914.92;Cajas y Almacenamiento
21394     ; RED POLKADOT BEAKER                ;       1864.63;Botellas de Agua Caliente y Confort
47599B    ; BLUE PARTY BAGS                    ;       6662.54;Papelería y Tarjetería
23033     ; DRAWER KNOB CERAMIC RED            ;       1058.9 ;Cajas y Almacenamiento
23068     ; ALUMINIUM STAMPED HEART            ;       1966.93;Joyería y Bijouterie
21613     ; S 12 VANILLA BOTANICAL T LIGHTS    ;       1861.45;Velas e Iluminación
72807C    ; SET 3 VANILLA SCENTED CANDLE IN BOX;       9001.15;Velas e Iluminación
23356     ; LOVE HOT WATER BOTTLE              ;      13334.32;Botellas de Agua Caliente y Confort
16218     ; CARTOON PENCIL SHARPENERS          ;        448.13;Otros
20878     ; SET 9 CHRISTMAS T LIGHTS SCENTED   ;        952.51;Navidad
22528     ; GARDENERS KNEELING PAD             ;       7623.41;Jardín y Exterior
22766     ; PHOTO FRAME CORNICE                ;      12864.25;Marcos y Fotografía
23530     ; WALL ART ONLY ONE PERSON           ;       4436.27;Relojes y Arte de Pared
16202E    ; BLACK PHOTO ALBUM                  ;        162.73;Marcos y Fotografía
62096B    ; PURPLE TURQ FLOWERS HANDBAG        ;        441.99;Bolsos y Carteras
22171     ; 3 HOOK PHOTO SHELF ANTIQUE WHITE   ;      23709.46;Decoración del Hogar
84619     ; BLUE GINGHAM ROSE QUILT            ;       1622.96;Textiles del Hogar
20903     ; VINTAGE KEEPSAKE BOX TRAVELOGUE    ;        919.8 ;Cajas y Almacenamiento
84914A    ; PINK ROSE PICNIC RUG               ;        155.7 ;Jardín y Exterior
84406B    ; CREAM CUPID HEARTS COAT HANGER     ;      23093.95;Decoración del Hogar
90010B    ; BLACK WHITE GLASS SILVER BRACELET  ;        578.02;Joyería y Bijouterie
22041     ; RECORD FRAME 7 SINGLE SIZE         ;      18650.87;Marcos y Fotografía
85152     ; HAND OVER THE CHOCOLATE SIGN       ;      31483.7 ;Carteles y Señalética
22673     ; FRENCH GARDEN SIGN BLUE METAL      ;       1667.5 ;Carteles y Señalética
23121     ; PACK OF 6 COCKTAIL PARASOL STRAWS  ;       1000.44;Cocina y Mesa
23555     ; LANDMARK FRAME NOTTING HILL        ;       4780.57;Marcos y Fotografía
22499     ; WOODEN UNION JACK BUNTING          ;      21826.52;Decoración del Hogar
21392     ; RED SPOTTY PUDDING BOWL            ;       1478.13;Cocina y Mesa
23302     ; KNEELING MAT HOUSEWORK DESIGN      ;       2181.42;Otros
20669     ; RED HEART LUGGAGE TAG              ;       1111.89;Joyería y Bijouterie
22170     ; PICTURE FRAME WOOD TRIPLE PORTRAIT ;      15645.27;Marcos y Fotografía
22866     ; HAND WARMER SCOTTY DOG DESIGN      ;      28266.87;Otros
23357     ; HOT WATER BOTTLE SEX BOMB          ;       1982.05;Botellas de Agua Caliente y Confort
84857B    ; BLUE MONTE CARLO HANDBAG           ;         46.8 ;Bolsos y Carteras
85221     ; ASSORTED COLOUR SILK COIN PURSE    ;       1685.46;Bolsos y Carteras
