stock_code,description_clean,revenue_total,categoria_gold
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,6471.2,
23236,STORAGE TIN VINTAGE DOILY,7059.97,
22971,QUEENS GUARD COFFEE MUG,5849.29,
75011,BLUE DAISY MOBILE,172.51,
79302M,ART LIGHTS FUNK MONKEY,1797.95,
84030C,KNITTED RAINBOW HOT WATER BOTTLE,330.78,
23510,MINI PLAYING CARDS GYMKHANA,1118.8,
84509C,SET OF 4 POLKADOT PLACEMATS,1591.22,
22985,WRAP BILLBOARD FONTS DESIGN,1895.24,
84661B,BLACK SQUARE TABLE CLOCK,535.18,
22797,CHEST OF DRAWERS GINGHAM HEART,4205.56,
23650,SET 10 CARDS FILIGREE BAUBLE 16961,9.96,
22101,MIRROR MOSAIC VOTIVE HOLDER,2790.27,
84762C,GREEN PICNIC BARBECUE BUCKET,761.25,
90141D,ROSE PENDANT TRIPLE SHELL NECKLACE,36.33,
21122,SET 10 PINK POLKADOT PARTY CANDLES,14844.78,
84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,3622.75,
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,5914.92,
78033,FLAG OF ST GEORGE CHAIR,370.6,
22028,PENNY FARTHING BIRTHDAY CARD,2665.13,
23033,DRAWER KNOB CERAMIC RED,1058.9,
22595,GINGHAM HEART DECORATION,10544.32,
72750A,F FAIRY S 3 CANDLE GLASS LILY VALLY,766.85,
72739C,DARK CHOCOLATE SCENTCANDLE,279.08,
23356,LOVE HOT WATER BOTTLE,13334.32,
20771,CHRYSANTHEMUM JOURNAL,1201.68,
23223,CHRISTMAS TREE HANGING SILVER,750.19,
84692,BOX OF 24 COCKTAIL PARASOLS,9336.68,
23555,LANDMARK FRAME NOTTING HILL,4780.57,
22227,HANGING HEART MIRROR DECORATION,4344.17,
23457,LARGE PARLOUR PICTURE FRAME,549.88,
62096B,PURPLE TURQ FLOWERS HANDBAG,441.99,
15030,FAN BLACK FRAME,73.66,
22447,PIN CUSHION BABUSHKA BLUE,796.34,
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,919.8,
22786,CUSHION COVER PINK UNION JACK,1549.1,
84406B,CREAM CUPID HEARTS COAT HANGER,23093.95,
90037C,TINY CRYSTAL BRACELET BLUE,66.08,
23452,HEART MINI PORTRAIT FRAME,1021.76,
85152,HAND OVER THE CHOCOLATE SIGN,31483.7,
22520,CHILDS GARDEN TROWEL BLUE,2011.28,
22874,NUMBER TILE COTTAGE GARDEN 6,272.02,
84425A,WHITE GLASS TV TRIPLE FRAME,76.6,
85188A,GREEN METAL SWINGING BUNNY,824.97,
21392,RED SPOTTY PUDDING BOWL,1478.13,
21926,RED CREAM STRIPE CUSHION COVER,1325.27,
22696,WICKER WREATH LARGE,2790.83,
23454,THREE MINI HANGING FRAMES,733.2,
22866,HAND WARMER SCOTTY DOG DESIGN,28266.87,
23357,HOT WATER BOTTLE SEX BOMB,1982.05,
84857B,BLUE MONTE CARLO HANDBAG,46.8,
85221,ASSORTED COLOUR SILK COIN PURSE,1685.46,
84876B,GREEN HEART COMPACT MIRROR,488.31,
23052,RECYCLED ACAPULCO MAT TURQUOISE,5949.34,
90094,NECKLACE BRACELET SET FRUIT SALAD,187.62,
90012B,BLACK DROP CRYSTAL NECKLACE,85.9,
22940,FELTCRAFT CHRISTMAS FAIRY,15282.81,
22930,BAKING MOULD HEART MILK CHOCOLATE,2846.8,
72807B,SET 3 OCEAN SCENT CANDLE JEWEL BOX,4866.81,
21904,HOUSE WRECKING METAL SIGN,1201.52,
21812,GARLAND WITH HEARTS AND BELLS,3917.49,
23051,RECYCLED ACAPULCO MAT BLUE,3223.49,
20839,FRENCH PAISLEY CUSHION COVER,1018.11,
20698,LITTLE PINK MONSTER SOFT TOY,114.45,
21165,BEWARE OF THE CAT METAL SIGN,15167.38,
79071B,ENGLISH ROSE METAL WASTE BIN,433.7,
85059,FRENCH ENAMEL WATER BASIN,2399.89,
21366,MIRRORED WALL ART PHOTO FRAMES,1140.0,
21942,SKULLS DESIGN FLANNEL,1136.28,
22709,WRAP WEDDING DAY,1099.58,
21124,SET 10 BLUE SPOTTY PARTY CANDLES,12172.79,
21206,STRAWBERRY HONEYCOMB GARLAND,3067.9,
84686,BEACH HUT MIRROR,1027.79,
