stock_code;description_clean;revenue_total;categoria_gold_nueva
22419;LIPSTICK PEN RED;3242.59;Otros
23211;RED ROCKING HORSE HAND PAINTED;2930.57;Juguetes y Juegos
23369;SET 36 COLOUR PENCILS LOVE LONDON;1581.06;Escritura y Útiles
10138;ASSORTED COLOUR JUMBO PEN;111.22;Escritura y Útiles
21828;EIGHT PIECE SNAKE SET;1396.62;Juguetes y Juegos
16156L;WRAP CAROUSEL;399.0;Textiles del Hogar
22076;6 RIBBONS EMPIRE;3490.19;Papelería y Tarjetería
22440;BALLOON WATER BOMB PACK OF 35;3399.41;Juguetes y Juegos
23477;WOODLAND LARGE BLUE FELT HEART;123.47;Decoración del Hogar
21846;PINK DIAMANTE PEN IN GIFT BOX;3803.4;Escritura y Útiles
20975;12 PENCILS SMALL TUBE RED RETROSPOT;11848.71;Escritura y Útiles
22544;MINI JIGSAW SPACEBOY;3756.52;Juguetes y Juegos
22866;HAND WARMER SCOTTY DOG DESIGN;28266.87;Otros
22547;MINI JIGSAW DINOSAUR;846.82;Juguetes y Juegos
22230;JIGSAW TREE WITH WATERING CAN;1134.64;Juguetes y Juegos
20989;URBAN CHIC CHOPSTICKS SET 5;782.18;Cocina y Mesa
85049F;BABY BOOM RIBBONS;2634.0;Otros
16218;CARTOON PENCIL SHARPENERS;448.13;Escritura y Útiles
16258B;DAISY ERASERS IN BAG;221.06;Escritura y Útiles
20980;36 PENCILS TUBE POSY;282.31;Escritura y Útiles
22233;JIGSAW RABBIT AND BIRDHOUSE;1210.11;Juguetes y Juegos
21591;COSY HOUR CIGAR BOX MATCHES;6003.08;Otros
23302;KNEELING MAT HOUSEWORK DESIGN;2181.42;Otros
23177;TREASURE ISLAND BOOK BOX;5521.29;Escritura y Útiles
85197;SET OF 12 MINI BUNNIES IN A BUCKET;959.46;Juguetes y Juegos
22582;PACK OF 6 SWEETIE GIFT BOXES;6324.77;Otros
22606;WOODEN SKITTLES GARDEN SET;14881.94;Juguetes y Juegos
22245;HOOK 1 HANGER MAGIC GARDEN;3988.85;Jardín y Exterior
23366;SET 12 COLOURING PENCILS DOILY;1667.95;Escritura y Útiles
23506;MINI PLAYING CARDS SPACEBOY;1129.12;Juguetes y Juegos
