stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio
10002,INFLATABLE POLITICAL GLOBE,367,8671,6942.26,0.98
10002R,ROBOT PENCIL SHARPNER,3,4,20.57,5.13
10080,GROOVY CACTUS INFLATABLE,28,315,129.29,0.5
10109,BENDY COLOUR PENCILS,1,4,1.68,0.42
10120,DOGGY RUBBER,73,664,142.74,0.24
10123C,HEARTS WRAPPING TAPE,63,650,254.41,0.79
10123G,ARMY CAMO WRAPPING TAPE,17,2251,165.56,0.82
10124A,SPOTS ON RED BOOKCOVER TAPE,18,58,24.36,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,10,33,14.28,0.46
10125,MINI FUNKY DESIGN TAPES,173,2103,1715.78,0.93
10133,COLOURING PENCILS BROWN TUBE,289,3837,2373.26,0.75
10134,COLOURING PENCILS BROWN TUBE,54,625,721.13,1.29
10135,COLOURING PENCILS BROWN TUBE,327,4226,4566.21,1.4
10138,ASSORTED COLOUR JUMBO PEN,21,261,111.22,0.48
11001,ASSTD DESIGN RACING CAR PEN,256,4829,7408.65,1.87
15030,FAN BLACK FRAME,27,254,73.66,0.29
15034,PAPER POCKET TRAVELING FAN,256,10153,1416.26,0.36
15036,ASSORTED COLOURS SILK FAN,992,44272,32967.03,0.99
15039,SANDALWOOD FAN,308,5101,4345.62,1.14
15044A,PINK PAPER PARASOL,250,4964,13210.85,3.6
15044B,BLUE PAPER PARASOL,189,1670,4644.13,3.55
15044C,PURPLE PAPER PARASOL,232,967,3027.26,3.82
15044D,RED PAPER PARASOL,229,1596,4559.65,3.44
15056BL,EDWARDIAN PARASOL BLACK,956,9620,48723.77,6.83
15056N,EDWARDIAN PARASOL NATURAL,1156,11459,60145.85,7.39
15056P,EDWARDIAN PARASOL PINK,383,2519,12806.76,6.86
15058A,BLUE POLKADOT GARDEN PARASOL,149,476,3153.73,8.55
15058B,PINK POLKADOT GARDEN PARASOL,156,438,3327.67,9.68
15058C,ICE CREAM DESIGN GARDEN PARASOL,122,470,2753.72,9.67
15059A,ENGLISH ROSE EDWARDIAN PARASOL,4,509,1567.0,10.5
15060B,FAIRY CAKE DESIGN UMBRELLA,454,1419,6486.79,5.57
16008,SMALL FOLDING SCISSOR POINTED EDGE,85,3141,422.96,0.16
16010,FOLDING CAMPING SCISSOR W KNIF S,4,32,3.84,0.12
