stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio,cluster,categoria_regla,categorias_candidatas,num_categorias_candidatas,estrato_muestreo,categoria_predicha,confianza_margen,categoria_final
10002,INFLATABLE POLITICAL GLOBE,367,8671,6942.26,0.98,22,,[],0,Sin regla,Velas e Iluminación,0.0572097547909769,Sin clasificar
10002R,ROBOT PENCIL SHARPNER,3,4,20.57,5.13,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,1.9578495192467793,Papelería y Tarjetería
10080,GROOVY CACTUS INFLATABLE,28,315,129.29,0.5,22,,[],0,Sin regla,Velas e Iluminación,0.44781075330683817,Velas e Iluminación
10109,BENDY COLOUR PENCILS,1,4,1.68,0.42,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.165686091010406,Papelería y Tarjetería
10120,DOGGY RUBBER,73,664,142.74,0.24,22,,[],0,Sin regla,Papelería y Tarjetería,0.2736524561278719,Papelería y Tarjetería
10123C,HEARTS WRAPPING TAPE,63,650,254.41,0.79,22,,[],0,Sin regla,Papelería y Tarjetería,0.3991359028547127,Papelería y Tarjetería
10123G,ARMY CAMO WRAPPING TAPE,17,2251,165.56,0.82,22,,[],0,Sin regla,Papelería y Tarjetería,0.6163181446932134,Papelería y Tarjetería
10124A,SPOTS ON RED BOOKCOVER TAPE,18,58,24.36,0.42,22,,[],0,Sin regla,Cocina y Mesa,0.1716114004874203,Sin clasificar
10124G,ARMY CAMO BOOKCOVER TAPE,10,33,14.28,0.46,22,,[],0,Sin regla,Papelería y Tarjetería,0.16700066436062055,Sin clasificar
10125,MINI FUNKY DESIGN TAPES,173,2103,1715.78,0.93,22,,[],0,Sin regla,Papelería y Tarjetería,0.31119627956221285,Papelería y Tarjetería
10133,COLOURING PENCILS BROWN TUBE,289,3837,2373.26,0.75,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.283840267138112,Papelería y Tarjetería
10134,COLOURING PENCILS BROWN TUBE,54,625,721.13,1.29,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.283840267138112,Papelería y Tarjetería
10135,COLOURING PENCILS BROWN TUBE,327,4226,4566.21,1.4,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.283840267138112,Papelería y Tarjetería
10138,ASSORTED COLOUR JUMBO PEN,21,261,111.22,0.48,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,0.31454806422907733,Papelería y Tarjetería
11001,ASSTD DESIGN RACING CAR PEN,256,4829,7408.65,1.87,22,Papelería y Tarjetería,['Papelería y Tarjetería'],1,Papelería y Tarjetería,Papelería y Tarjetería,2.0725152178463357,Papelería y Tarjetería
15030,FAN BLACK FRAME,27,254,73.66,0.29,13,Marcos y Fotografía,"['Marcos y Fotografía', 'Decoración del Hogar']",2,Marcos y Fotografía,Marcos y Fotografía,2.109064998750795,Marcos y Fotografía
15034,PAPER POCKET TRAVELING FAN,256,10153,1416.26,0.36,22,Decoración del Hogar,['Decoración del Hogar'],1,Decoración del Hogar,Decoración del Hogar,0.6493431309386561,Decoración del Hogar
15036,ASSORTED COLOURS SILK FAN,992,44272,32967.03,0.99,22,Decoración del Hogar,['Decoración del Hogar'],1,Decoración del Hogar,Decoración del Hogar,1.8607115959122207,Decoración del Hogar
15039,SANDALWOOD FAN,308,5101,4345.62,1.14,22,Decoración del Hogar,['Decoración del Hogar'],1,Decoración del Hogar,Decoración del Hogar,1.9437415669695313,Decoración del Hogar
15044A,PINK PAPER PARASOL,250,4964,13210.85,3.6,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.9756882633421609,Jardín y Exterior
15044B,BLUE PAPER PARASOL,189,1670,4644.13,3.55,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,2.0370995167535946,Jardín y Exterior
15044C,PURPLE PAPER PARASOL,232,967,3027.26,3.82,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,1.9618201572053142,Jardín y Exterior
15044D,RED PAPER PARASOL,229,1596,4559.65,3.44,22,Jardín y Exterior,['Jardín y Exterior'],1,Jardín y Exterior,Jardín y Exterior,2.0674797229797854,Jardín y Exterior
